fips,diabetes,inactivity,mental_health,obesity,smoking
12017,13.0,26.9,17.9,32.6,15.9
12019,11.25,24.9,18.15,34.7,13.45
12021,11.6,23.25,14.75,27.3,10.75
12023,13.75,30.75,19.0,39.7,18.4
12027,16.15,37.75,19.7,41.4,20.0
12029,14.2,31.2,20.4,34.75,20.35
12031,12.3,26.9,18.45,34.3,13.95
12033,12.1,25.8,18.5,36.1,14.5
12035,11.5,23.1,16.3,30.75,12.6
12037,13.25,28.1,18.05,32.35,16.9
12039,17.4,30.65,19.6,44.55,18.7
12041,11.5,26.6,19.1,34.6,17.3
12043,16.05,35.05,19.15,37.5,20.1
12045,12.5,26.5,17.65,35.2,15.6
12047,16.15,32.25,20.5,41.75,21.05
12049,15.0,33.65,19.3,40.25,17.95
12051,16.45,38.0,18.6,37.65,17.45
12053,13.05,26.55,17.9,36.25,14.6
12055,15.45,31.5,17.55,37.55,15.1
12057,12.0,23.75,16.6,31.55,12.1
12059,13.2,28.65,20.25,36.4,19.45
12061,11.9,23.45,15.75,27.05,12.05
12063,14.35,30.9,19.7,38.8,19.25
12065,14.25,27.15,18.3,35.0,17.3
12067,13.7,31.1,20.35,34.95,19.65
12069,12.7,25.0,16.8,35.55,12.6
12071,12.65,25.5,15.95,30.8,12.25
12073,10.95,23.1,17.95,34.35,12.1
12075,14.0,29.2,19.75,33.8,18.05
12077,13.65,31.4,19.85,44.35,19.3
12079,15.05,31.5,19.65,37.95,18.95
12081,12.05,24.2,16.35,32.4,12.75
12083,12.9,25.4,17.9,36.75,15.25
12085,11.5,22.1,15.8,27.45,11.85
12086,14.35,31.85,14.8,29.4,11.35
12087,11.45,22.8,15.4,25.65,12.0
12089,10.1,19.35,16.75,33.55,12.55
12091,10.2,22.55,17.7,30.75,12.9
12093,14.2,31.2,19.45,44.0,18.4
12095,11.6,24.55,16.3,33.5,11.9
12097,13.05,28.1,16.8,39.6,11.75
12099,12.15,24.6,15.35,26.95,11.5
12101,11.55,25.65,17.2,31.8,13.6
12103,11.45,22.85,16.6,31.6,12.45
12105,12.7,28.35,18.3,40.4,14.6
12107,15.45,32.6,20.55,33.2,21.35
12109,9.4,17.8,15.2,28.95,10.1
12111,12.85,26.1,17.4,31.7,13.7
12113,10.1,20.1,17.65,31.9,13.3
12115,10.7,21.75,15.2,29.75,11.1
12117,10.4,20.85,15.4,29.4,10.8
12119,12.55,22.75,14.0,30.75,10.9
12121,13.45,31.35,19.05,38.45,18.2
12123,14.35,31.45,19.9,40.85,19.45
12125,13.7,30.2,19.9,41.55,20.2
12127,11.9,24.6,17.75,32.95,14.0
12129,11.7,26.7,18.1,38.55,15.15
12131,11.0,21.3,17.2,29.85,13.75
12133,13.85,31.55,20.35,39.95,19.6
13001,16.0,34.4,20.25,40.65,20.55
13003,17.25,39.65,20.9,43.95,22.05
13005,13.95,32.15,20.0,36.9,19.0
13007,19.9,37.35,19.6,43.3,20.5
13009,14.9,29.95,19.15,39.8,16.7
13011,12.65,28.6,18.9,34.35,17.35
13013,11.9,27.9,17.8,35.05,14.85
13015,11.4,25.9,18.2,38.55,15.15
13017,17.55,37.1,20.5,41.5,21.5
13019,14.75,33.3,20.55,38.05,20.85
13021,16.05,31.85,19.5,44.85,17.05
13023,13.75,29.3,19.5,38.0,17.0
13025,13.15,31.85,20.4,38.85,19.75
13027,17.85,35.55,19.8,40.2,20.05
13029,9.9,21.2,16.7,33.15,12.05
13031,12.2,26.55,19.65,40.3,15.05
13033,16.75,34.05,20.05,39.95,19.1
13035,13.2,30.7,19.0,38.2,17.5
13037,17.8,36.6,19.35,43.6,20.95
13039,12.0,27.1,18.3,37.55,15.15
13043,15.2,32.8,19.55,42.25,18.8
13045,12.5,28.1,18.8,34.45,16.35
13047,11.4,24.65,17.8,34.0,14.8
13049,15.75,34.1,19.3,41.45,20.1
13051,12.6,25.0,16.8,33.2,13.5
13053,10.85,27.25,19.35,38.2,14.9
